epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,5178.31,1.43251,0.85771,1.18971,0.89136,0.81593,0.87433,0.56556,1.40956,0.7756,1.21709,0.00104537,0.00104537,0.00104537
122,5220.44,1.38492,0.84612,1.18085,0.90622,0.81313,0.88143,0.56954,1.41473,0.76859,1.21709,0.000985311,0.000985311,0.000985311
123,5262.57,1.39713,0.84901,1.18675,0.90068,0.83724,0.88232,0.56882,1.4068,0.77241,1.20647,0.00092704,0.00092704,0.00092704
124,5304.67,1.42052,0.84967,1.17555,0.89351,0.83826,0.88101,0.57497,1.39059,0.76365,1.20403,0.000870577,0.000870577,0.000870577
125,5346.87,1.39263,0.84016,1.18301,0.89781,0.83803,0.88035,0.57042,1.41775,0.77475,1.20767,0.000815947,0.000815947,0.000815947
126,5389.69,1.40934,0.85369,1.17989,0.90498,0.82827,0.87663,0.57429,1.38445,0.75566,1.20513,0.000763174,0.000763174,0.000763174
127,5431.69,1.38046,0.83836,1.16997,0.91206,0.82238,0.87254,0.57867,1.39052,0.77236,1.20287,0.000712282,0.000712282,0.000712282
128,5474.24,1.40665,0.84907,1.17,0.91121,0.81979,0.87569,0.57844,1.39438,0.76342,1.20269,0.000663292,0.000663292,0.000663292
129,5516.73,1.38369,0.83631,1.17287,0.92503,0.83204,0.87856,0.58128,1.38721,0.76222,1.1988,0.000616227,0.000616227,0.000616227
130,5558.89,1.3779,0.84173,1.17501,0.89238,0.85024,0.88808,0.57911,1.37895,0.75926,1.19886,0.000571106,0.000571106,0.000571106
131,5601.19,1.37369,0.83165,1.16135,0.90105,0.84121,0.88428,0.58064,1.36442,0.75226,1.19083,0.00052795,0.00052795,0.00052795
132,5643.13,1.37864,0.83821,1.17369,0.90503,0.83417,0.88423,0.57705,1.3763,0.75533,1.20082,0.000486777,0.000486777,0.000486777
133,5685.77,1.3819,0.84719,1.18048,0.89349,0.85129,0.88493,0.58346,1.37025,0.75767,1.20072,0.000447606,0.000447606,0.000447606
134,5728.57,1.38114,0.84111,1.16842,0.91485,0.83491,0.88706,0.58642,1.36896,0.74596,1.19872,0.000410454,0.000410454,0.000410454
